Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station
-98.65638733,19.11701202,282.3833618,-99.52338409,19.53956604,286.1638489,-99.19944763,19.26997375,295.6448975,-99.17086792,19.44975281,297.9476624,-99.6567688,20.39026642,294.6504211,-99.16133881,18.88278961,302.3016357,-98.7230835,20.19367218,285.6473694,-99.31378174,19.0539856,289.7917786,-99.77109528,19.11701202,281.9353638,-98.63733673,19.09900665,283.445343,-99.2661438,19.52160645,296.5749817,-99.07559204,18.9458847,300.7894592,-99.24708557,19.0539856,289.6076355,-99.10417938,19.38685608,297.8434448
-98.65638733,19.11701202,281.6352844,-99.52338409,19.53956604,283.7463989,-99.19944763,19.26997375,293.6984253,-99.17086792,19.44975281,296.0175781,-99.6567688,20.39026642,292.4133911,-99.16133881,18.88278961,302.3068542,-98.7230835,20.19367218,284.3604126,-99.31378174,19.0539856,289.0643005,-99.77109528,19.11701202,280.0684204,-98.63733673,19.09900665,282.0604553,-99.2661438,19.52160645,294.7552185,-99.07559204,18.9458847,301.5285034,-99.24708557,19.0539856,289.3643188,-99.10417938,19.38685608,295.8887329
-98.65638733,19.11701202,280.6464844,-99.52338409,19.53956604,282.2087097,-99.19944763,19.26997375,291.9299927,-99.17086792,19.44975281,294.2775269,-99.6567688,20.39026642,290.7529907,-99.16133881,18.88278961,301.953949,-98.7230835,20.19367218,283.9893799,-99.31378174,19.0539856,287.2467041,-99.77109528,19.11701202,278.9181519,-98.63733673,19.09900665,281.6111145,-99.2661438,19.52160645,293.1152954,-99.07559204,18.9458847,299.3470764,-99.24708557,19.0539856,288.4547424,-99.10417938,19.38685608,294.0866394
-98.65638733,19.11701202,279.8310242,-99.52338409,19.53956604,281.3930359,-99.19944763,19.26997375,290.6503601,-99.17086792,19.44975281,292.9290466,-99.6567688,20.39026642,289.9284973,-99.16133881,18.88278961,301.1029968,-98.7230835,20.19367218,283.3544922,-99.31378174,19.0539856,286.5575256,-99.77109528,19.11701202,277.6655273,-98.63733673,19.09900665,280.1636047,-99.2661438,19.52160645,291.9206848,-99.07559204,18.9458847,298.6616211,-99.24708557,19.0539856,287.3228149,-99.10417938,19.38685608,292.8551331
-98.65638733,19.11701202,278.8832092,-99.52338409,19.53956604,280.6468811,-99.19944763,19.26997375,289.7911682,-99.17086792,19.44975281,292.0896912,-99.6567688,20.39026642,289.4019165,-99.16133881,18.88278961,299.9047546,-98.7230835,20.19367218,282.8504028,-99.31378174,19.0539856,284.9136353,-99.77109528,19.11701202,277.4447021,-98.63733673,19.09900665,279.0575256,-99.2661438,19.52160645,290.86026,-99.07559204,18.9458847,297.4623413,-99.24708557,19.0539856,285.7104187,-99.10417938,19.38685608,292.2442322
-98.65638733,19.11701202,278.2787476,-99.52338409,19.53956604,280.0652161,-99.19944763,19.26997375,289.2227173,-99.17086792,19.44975281,291.2928772,-99.6567688,20.39026642,288.7915344,-99.16133881,18.88278961,298.0618286,-98.7230835,20.19367218,282.3035889,-99.31378174,19.0539856,283.8507996,-99.77109528,19.11701202,276.6910095,-98.63733673,19.09900665,277.8189087,-99.2661438,19.52160645,290.0568237,-99.07559204,18.9458847,295.7206116,-99.24708557,19.0539856,284.2768555,-99.10417938,19.38685608,291.7165222
-98.65638733,19.11701202,277.3640137,-99.52338409,19.53956604,279.3017578,-99.19944763,19.26997375,288.447998,-99.17086792,19.44975281,290.6446838,-99.6567688,20.39026642,288.3515625,-99.16133881,18.88278961,297.1017151,-98.7230835,20.19367218,281.8275452,-99.31378174,19.0539856,283.048645,-99.77109528,19.11701202,276.1654358,-98.63733673,19.09900665,277.62854,-99.2661438,19.52160645,289.309906,-99.07559204,18.9458847,294.6083374,-99.24708557,19.0539856,282.4177551,-99.10417938,19.38685608,290.9344788
-98.65638733,19.11701202,277.1667175,-99.52338409,19.53956604,278.5282288,-99.19944763,19.26997375,287.7442932,-99.17086792,19.44975281,289.9855652,-99.6567688,20.39026642,287.2993774,-99.16133881,18.88278961,296.4057007,-98.7230835,20.19367218,281.3510742,-99.31378174,19.0539856,281.8838501,-99.77109528,19.11701202,276.0567627,-98.63733673,19.09900665,277.2331238,-99.2661438,19.52160645,288.6308289,-99.07559204,18.9458847,292.9179382,-99.24708557,19.0539856,281.5301514,-99.10417938,19.38685608,290.1511536
-98.65638733,19.11701202,277.7028503,-99.52338409,19.53956604,277.938385,-99.19944763,19.26997375,287.3521423,-99.17086792,19.44975281,289.4325256,-99.6567688,20.39026642,286.6080322,-99.16133881,18.88278961,295.5475464,-98.7230835,20.19367218,280.2494507,-99.31378174,19.0539856,281.4680481,-99.77109528,19.11701202,275.3701172,-98.63733673,19.09900665,276.4127502,-99.2661438,19.52160645,288.0863342,-99.07559204,18.9458847,292.5611572,-99.24708557,19.0539856,281.6148071,-99.10417938,19.38685608,289.5898438
-98.65638733,19.11701202,276.9217224,-99.52338409,19.53956604,277.4072266,-99.19944763,19.26997375,286.7278748,-99.17086792,19.44975281,288.7921753,-99.6567688,20.39026642,286.0795898,-99.16133881,18.88278961,294.8551025,-98.7230835,20.19367218,279.6401672,-99.31378174,19.0539856,280.5345459,-99.77109528,19.11701202,274.7133179,-98.63733673,19.09900665,275.3581543,-99.2661438,19.52160645,287.4115601,-99.07559204,18.9458847,291.2886353,-99.24708557,19.0539856,281.5205383,-99.10417938,19.38685608,289.0180664
