Date,Hour,Combine,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station
6/1/11,10:00:00,6/01/1110:00:00,-98.65638733,19.11701202,275.1870422,-99.52338409,19.53956604,276.7949219,-99.19944763,19.26997375,283.3197327,-99.17086792,19.44975281,287.8482971,-99.6567688,20.39026642,285.499115,-99.16133881,18.88278961,294.1318359,-98.7230835,20.19367218,280.3962097,-99.31378174,19.0539856,279.8123779,-99.77109528,19.11701202,274.1402588,-98.63733673,19.09900665,275.9922485,-99.2661438,19.52160645,284.3851318,-99.07559204,18.9458847,290.4171143,-99.24708557,19.0539856,281.3194275,-99.10417938,19.38685608,287.7869568
6/1/11,11:00:00,6/01/1111:00:00,-98.65638733,19.11701202,274.7672729,-99.52338409,19.53956604,276.4879456,-99.19944763,19.26997375,282.2030334,-99.17086792,19.44975281,287.3903809,-99.6567688,20.39026642,284.1920166,-99.16133881,18.88278961,293.401825,-98.7230835,20.19367218,280.1832275,-99.31378174,19.0539856,279.1299438,-99.77109528,19.11701202,273.8607788,-98.63733673,19.09900665,275.7896729,-99.2661438,19.52160645,283.7634888,-99.07559204,18.9458847,289.7077637,-99.24708557,19.0539856,280.5305176,-99.10417938,19.38685608,287.3660583
6/1/11,12:00:00,6/01/1112:00:00,-98.65638733,19.11701202,274.5354919,-99.52338409,19.53956604,276.0926208,-99.19944763,19.26997375,281.6188354,-99.17086792,19.44975281,286.9597473,-99.6567688,20.39026642,284.0953064,-99.16133881,18.88278961,292.9341431,-98.7230835,20.19367218,279.8575134,-99.31378174,19.0539856,278.7696228,-99.77109528,19.11701202,273.6545715,-98.63733673,19.09900665,274.677948,-99.2661438,19.52160645,283.170929,-99.07559204,18.9458847,289.0648804,-99.24708557,19.0539856,280.0091553,-99.10417938,19.38685608,286.9776306
6/1/11,13:00:00,6/01/1113:00:00,-98.65638733,19.11701202,277.027832,-99.52338409,19.53956604,276.9352722,-99.19944763,19.26997375,284.0637512,-99.17086792,19.44975281,287.09198,-99.6567688,20.39026642,286.2978821,-99.16133881,18.88278961,292.8039551,-98.7230835,20.19367218,280.1204529,-99.31378174,19.0539856,283.0550537,-99.77109528,19.11701202,274.6187744,-98.63733673,19.09900665,277.9816895,-99.2661438,19.52160645,283.3668518,-99.07559204,18.9458847,291.0566406,-99.24708557,19.0539856,283.1939697,-99.10417938,19.38685608,286.9490662
6/1/11,14:00:00,6/01/1114:00:00,-98.65638733,19.11701202,277.7877808,-99.52338409,19.53956604,278.8487854,-99.19944763,19.26997375,284.8529968,-99.17086792,19.44975281,287.5017395,-99.6567688,20.39026642,288.5132446,-99.16133881,18.88278961,293.8612671,-98.7230835,20.19367218,280.4296265,-99.31378174,19.0539856,285.5934448,-99.77109528,19.11701202,276.0543823,-98.63733673,19.09900665,279.5899048,-99.2661438,19.52160645,283.9193115,-99.07559204,18.9458847,293.071228,-99.24708557,19.0539856,285.1036987,-99.10417938,19.38685608,287.5779724
6/1/11,15:00:00,6/01/1115:00:00,-98.65638733,19.11701202,278.6983643,-99.52338409,19.53956604,280.3546753,-99.19944763,19.26997375,286.0840149,-99.17086792,19.44975281,288.3499451,-99.6567688,20.39026642,289.8778687,-99.16133881,18.88278961,295.3585205,-98.7230835,20.19367218,281.2340698,-99.31378174,19.0539856,287.34021,-99.77109528,19.11701202,277.48526,-98.63733673,19.09900665,280.5085449,-99.2661438,19.52160645,284.8950195,-99.07559204,18.9458847,294.7741394,-99.24708557,19.0539856,286.6541443,-99.10417938,19.38685608,288.2610168
6/1/11,16:00:00,6/01/1116:00:00,-98.65638733,19.11701202,279.1176453,-99.52338409,19.53956604,281.5566406,-99.19944763,19.26997375,287.2599182,-99.17086792,19.44975281,289.6113281,-99.6567688,20.39026642,291.1393127,-99.16133881,18.88278961,296.7116699,-98.7230835,20.19367218,282.0266418,-99.31378174,19.0539856,288.5806274,-99.77109528,19.11701202,278.6138611,-98.63733673,19.09900665,281.329834,-99.2661438,19.52160645,286.5799866,-99.07559204,18.9458847,296.3345032,-99.24708557,19.0539856,287.3283691,-99.10417938,19.38685608,289.7791443
6/1/11,17:00:00,6/01/1117:00:00,-98.65638733,19.11701202,279.4382935,-99.52338409,19.53956604,282.6086731,-99.19944763,19.26997375,288.4271851,-99.17086792,19.44975281,291.1416016,-99.6567688,20.39026642,292.2230835,-99.16133881,18.88278961,298.0709839,-98.7230835,20.19367218,282.9502563,-99.31378174,19.0539856,288.4107971,-99.77109528,19.11701202,279.3217468,-98.63733673,19.09900665,281.8105164,-99.2661438,19.52160645,288.0673523,-99.07559204,18.9458847,298.0393982,-99.24708557,19.0539856,287.0534973,-99.10417938,19.38685608,291.3578186
6/1/11,18:00:00,6/01/1118:00:00,-98.65638733,19.11701202,279.8953552,-99.52338409,19.53956604,283.6873169,-99.19944763,19.26997375,289.703064,-99.17086792,19.44975281,292.97229,-99.6567688,20.39026642,293.214447,-99.16133881,18.88278961,299.7362366,-98.7230835,20.19367218,283.5707703,-99.31378174,19.0539856,288.4288635,-99.77109528,19.11701202,279.9432983,-98.63733673,19.09900665,282.0606689,-99.2661438,19.52160645,289.6628723,-99.07559204,18.9458847,299.4699097,-99.24708557,19.0539856,287.3900757,-99.10417938,19.38685608,292.8755798
6/1/11,19:00:00,6/01/1119:00:00,-98.65638733,19.11701202,279.8441467,-99.52338409,19.53956604,284.3158569,-99.19944763,19.26997375,291.2835999,-99.17086792,19.44975281,294.4091492,-99.6567688,20.39026642,293.9020691,-99.16133881,18.88278961,301.1168823,-98.7230835,20.19367218,283.7277832,-99.31378174,19.0539856,288.2631531,-99.77109528,19.11701202,279.736084,-98.63733673,19.09900665,282.5707092,-99.2661438,19.52160645,291.1700134,-99.07559204,18.9458847,300.9165955,-99.24708557,19.0539856,287.8682251,-99.10417938,19.38685608,294.2941895
